Source ,Source Airport,Destination,Destination Airport,Weight
118,Chicago O'hare Intl,201,San Francisco Intl,0.1804
118,Chicago O'hare Intl,258,Phoenix Sky Harbor Intl,0.1474
118,Chicago O'hare Intl,182,Lambert-St Louis Intl,0.0332
118,Chicago O'hare Intl,152,Pittsburgh Intll,0.0416
118,Chicago O'hare Intl,162,Philadelphia Intl,0.0676
47,Seattle-Tacoma Intl,118,Chicago O'hare Intl,0.1828
118,Chicago O'hare Intl,144,Salt Lake City Intl,0.1231
118,Chicago O'hare Intl,263,San Diego Intl-Lindbergh Fld,0.1733
118,Chicago O'hare Intl,301,Tampa Intl,0.1366
118,Chicago O'hare Intl,221,Raleigh-Durham Intll,0.0745
118,Chicago O'hare Intl,321,Luis Munoz Marin Intl,0.251
118,Chicago O'hare Intl,203,San Jose Intll,0.1788
65,Portland Intl,118,Chicago O'hare Intl,0.18
118,Chicago O'hare Intl,306,Palm Beach Intl,0.1514
118,Chicago O'hare Intl,297,San Antonio Intl,0.1305
118,Chicago O'hare Intl,253,John Wayne Airport-Orange Coun,0.172
118,Chicago O'hare Intl,183,Sacramento Metropolitan,0.1744
118,Chicago O'hare Intl,307,Southwest Florida Intl,0.1508
118,Chicago O'hare Intl,169,Reno/Tahoe Intll,0.164
118,Chicago O'hare Intl,216,Tulsa Intl,0.0686
118,Chicago O'hare Intl,212,Norfolk Intl,0.0769
118,Chicago O'hare Intl,274,Tucson Intl,0.1504
92,Syracuse Hancock Intl,118,Chicago O'hare Intl,0.0611
68,Bangor Intl,118,Chicago O'hare Intl,0.1008
91,Greater Rochester Intl,118,Chicago O'hare Intl,0.0532
118,Chicago O'hare Intl,125,Theodore Francis Green State,0.0839
118,Chicago O'hare Intl,189,Louisville Intl,0.0379
118,Chicago O'hare Intl,305,Sarasota/Bradenton Intl,0.1419
118,Chicago O'hare Intl,202,Richmond Intll,0.0688
118,Chicago O'hare Intl,222,Mc Ghee Tyson,0.0622
80,Portland Intl Jetport,118,Chicago O'hare Intl,0.091
118,Chicago O'hare Intl,273,Savannah Intll,0.1001
118,Chicago O'hare Intl,250,Palm Springs Regional,0.1652
118,Chicago O'hare Intl,126,Michiana Rgnl Transportation C,0.0085
118,Chicago O'hare Intl,204,Roanoke Regional/Woodrum Field,0.06
118,Chicago O'hare Intl,127,Toledo Express,0.0212
118,Chicago O'hare Intl,186,Yeager,0.0471
118,Chicago O'hare Intl,148,Greater Peoria Regional,0.0155
118,Chicago O'hare Intl,129,Stewart Int'l,0.0704
76,Rapid City Regional,118,Chicago O'hare Intl,0.0797
78,Rochester Intll,118,Chicago O'hare Intl,0.0298
118,Chicago O'hare Intl,163,Capital,0.0223
70,Cherry Capital,118,Chicago O'hare Intl,0.0289
114,Greater Rockford,118,Chicago O'hare Intl,0.0065
77,Wittman Regional,118,Chicago O'hare Intl,0.0195
118,Chicago O'hare Intl,261,Dallas/Fort Worth Intl,0.0985
248,Los Angeles Intl,261,Dallas/Fort Worth Intl,0.1093
201,San Francisco Intl,261,Dallas/Fort Worth Intl,0.1367
150,John F Kennedy Intl,261,Dallas/Fort Worth Intl,0.1396
261,Dallas/Fort Worth Intl,311,Miami Intl,0.109
146,La Guardia,261,Dallas/Fort Worth Intl,0.14
147,Newark Intl,261,Dallas/Fort Worth Intl,0.1383
258,Phoenix Sky Harbor Intl,261,Dallas/Fort Worth Intl,0.0765
112,Detroit Metropolitan Wayne Cou,261,Dallas/Fort Worth Intl,0.1131
261,Dallas/Fort Worth Intl,313,Honolulu Intl,0.3292
182,Lambert-St Louis Intl,261,Dallas/Fort Worth Intl,0.0655
67,Minneapolis-St Paul Intl/Wold-,261,Dallas/Fort Worth Intl,0.1162
