Author1 ID,Author1 Name,Author2 ID,Author2 Name,Weight
1,"Kuperman, M",1589,"Abramson, G",2.5
3,"Bonilla, L",2,"Acebron, J",0.25
4,"Perezvicente, C",2,"Acebron, J",0.25
4,"Perezvicente, C",3,"Bonilla, L",0.25
5,"Ritort, F",2,"Acebron, J",0.25
5,"Ritort, F",3,"Bonilla, L",0.25
5,"Ritort, F",4,"Perezvicente, C",0.25
6,"Spigler, R",2,"Acebron, J",0.25
6,"Spigler, R",3,"Bonilla, L",0.25
6,"Spigler, R",4,"Perezvicente, C",0.25
6,"Spigler, R",5,"Ritort, F",0.25
8,"Adar, E",7,"Adamic, L",1
9,"Huberman, B",7,"Adamic, L",3.16667
10,"Lukose, R",7,"Adamic, L",1.16667
10,"Lukose, R",9,"Huberman, B",1.16667
11,"Puniyani, A",7,"Adamic, L",0.666667
11,"Puniyani, A",10,"Lukose, R",0.666667
11,"Puniyani, A",9,"Huberman, B",0.666667
13,"Gerstein, G",12,"Aertsen, A",0.333333
14,"Habib, M",12,"Aertsen, A",0.333333
14,"Habib, M",13,"Gerstein, G",0.333333
15,"Palm, G",12,"Aertsen, A",0.333333
15,"Palm, G",13,"Gerstein, G",0.333333
15,"Palm, G",14,"Habib, M",0.333333
17,"Verichev, N",16,"Afraimovich, V",0.5
18,"Rabinovich, M",16,"Afraimovich, V",0.5
18,"Rabinovich, M",17,"Verichev, N",0.5
21,"Magnanti, T",20,"Ahuja, R",0.5
22,"Orlin, J",20,"Ahuja, R",0.5
22,"Orlin, J",21,"Magnanti, T",0.5
24,"Chung, F",23,"Aiello, W",0.5
25,"Lu, L",23,"Aiello, W",0.5
25,"Lu, L",24,"Chung, F",2.33333
28,"Mirojulia, J",27,"Alberich, R",0.5
29,"Rossello, F",27,"Alberich, R",0.5
29,"Rossello, F",28,"Mirojulia, J",0.5
31,"Albert, I",30,"Albert, R",0.5
32,"Nakarado, G",30,"Albert, R",0.5
32,"Nakarado, G",31,"Albert, I",0.5
33,"Barabasi, A",30,"Albert, R",3.58333
34,"Jeong, H",30,"Albert, R",1.58333
34,"Jeong, H",33,"Barabasi, A",4.225
36,"Bray, D",35,"Alberts, B",0.2
37,"Lewis, J",35,"Alberts, B",0.2
37,"Lewis, J",36,"Bray, D",0.2
38,"Raff, M",35,"Alberts, B",0.2
38,"Raff, M",36,"Bray, D",0.2
38,"Raff, M",37,"Lewis, J",0.2
39,"Roberts, K",35,"Alberts, B",0.2
39,"Roberts, K",36,"Bray, D",0.2
39,"Roberts, K",37,"Lewis, J",0.2
39,"Roberts, K",38,"Raff, M",0.2
40,"Watson, J",35,"Alberts, B",0.2
40,"Watson, J",36,"Bray, D",0.2
40,"Watson, J",37,"Lewis, J",0.2
40,"Watson, J",38,"Raff, M",0.2
40,"Watson, J",39,"Roberts, K",0.2
43,"Pittel, B",42,"Aldous, D",1
45,"Holyst, J",44,"Aleksiejuk, A",0.5
46,"Stauffer, D",44,"Aleksiejuk, A",0.5
46,"Stauffer, D",45,"Holyst, J",0.5
48,"Arecchi, F",47,"Allaria, E",0.333333
49,"Digarbo, A",47,"Allaria, E",0.333333
49,"Digarbo, A",48,"Arecchi, F",0.333333
50,"Meucci, R",47,"Allaria, E",0.333333
50,"Meucci, R",48,"Arecchi, F",0.333333
50,"Meucci, R",49,"Digarbo, A",0.333333
51,"Almaas, E",33,"Barabasi, A",0.75
52,"Kovacs, B",51,"Almaas, E",0.25
52,"Kovacs, B",33,"Barabasi, A",0.25
53,"Vicsek, T",51,"Almaas, E",0.25
53,"Vicsek, T",52,"Kovacs, B",0.25
53,"Vicsek, T",33,"Barabasi, A",1.85833
53,"Vicsek, T",34,"Jeong, H",0.775
54,"Oltvai, Z",51,"Almaas, E",0.25
54,"Oltvai, Z",52,"Kovacs, B",0.25
54,"Oltvai, Z",53,"Vicsek, T",0.625
54,"Oltvai, Z",33,"Barabasi, A",2.99167
54,"Oltvai, Z",34,"Jeong, H",1.15833
54,"Oltvai, Z",30,"Albert, R",0.25
55,"Krapivsky, P",51,"Almaas, E",0.5
56,"Redner, S",51,"Almaas, E",0.5
56,"Redner, S",55,"Krapivsky, P",3.83333
57,"Kulkarni, R",51,"Almaas, E",1
58,"Stroud, D",51,"Almaas, E",1
58,"Stroud, D",57,"Kulkarni, R",1
60,"Yuster, R",59,"Alon, N",0.5
61,"Zwick, U",59,"Alon, N",0.5
61,"Zwick, U",60,"Yuster, R",0.5
63,"Surette, M",62,"Alon, U",0.47619
64,"Barkai, N",62,"Alon, U",0.333333
64,"Barkai, N",63,"Surette, M",0.333333
65,"Leiber, S",62,"Alon, U",0.333333
65,"Leiber, S",63,"Surette, M",0.333333
65,"Leiber, S",64,"Barkai, N",0.333333
67,"Brown, P",66,"Alter, O",0.5
68,"Botstein, D",66,"Alter, O",0.5
68,"Botstein, D",67,"Brown, P",0.5
70,"Scala, A",69,"Amaral, L",0.833333
71,"Barthelemy, M",69,"Amaral, L",2.16667
71,"Barthelemy, M",70,"Scala, A",0.833333
72,"Stanley, H",69,"Amaral, L",0.916667
72,"Stanley, H",70,"Scala, A",0.333333
72,"Stanley, H",71,"Barthelemy, M",0.666667
74,"Hernandezgarcia, E",73,"Amengual, A",0.333333
75,"Montagne, R",73,"Amengual, A",0.333333
75,"Montagne, R",74,"Hernandezgarcia, E",0.333333
76,"Sanmiguel, M",73,"Amengual, A",0.333333
76,"Sanmiguel, M",74,"Hernandezgarcia, E",0.333333
76,"Sanmiguel, M",75,"Montagne, R",0.333333
78,"Newman, M",77,"Ancelmeyers, L",0.333333
78,"Newman, M",46,"Stauffer, D",1
79,"Martin, M",77,"Ancelmeyers, L",0.333333
79,"Martin, M",78,"Newman, M",0.333333
80,"Schrag, S",77,"Ancelmeyers, L",0.333333
80,"Schrag, S",78,"Newman, M",0.333333
80,"Schrag, S",79,"Martin, M",0.333333
82,"Wasserman, S",81,"Anderson, C",0.5
83,"Crouch, B",81,"Anderson, C",0.5
83,"Crouch, B",82,"Wasserman, S",0.5
85,"Arrow, K",84,"Anderson, P",0.5
86,"Pines, D",84,"Anderson, P",0.5
86,"Pines, D",85,"Arrow, K",0.5
88,"May, R",87,"Anderson, R",2.5
90,"Antal, T",55,"Krapivsky, P",1
92,"Gough, J",91,"Apic, G",0.5
93,"Teichmann, S",91,"Apic, G",0.5
93,"Teichmann, S",92,"Gough, J",0.5
95,"Cabrales, A",94,"Arenas, A",0.5
96,"Diazguilera, A",94,"Arenas, A",2.66667
96,"Diazguilera, A",95,"Cabrales, A",0.5
97,"Guimera, R",94,"Arenas, A",2.33333
97,"Guimera, R",95,"Cabrales, A",0.5
97,"Guimera, R",96,"Diazguilera, A",2.33333
97,"Guimera, R",69,"Amaral, L",1.83333
98,"Vegaredondo, F",94,"Arenas, A",0.5
98,"Vegaredondo, F",95,"Cabrales, A",0.5
98,"Vegaredondo, F",96,"Diazguilera, A",0.5
98,"Vegaredondo, F",97,"Guimera, R",0.5
99,"Danon, L",94,"Arenas, A",0.5
99,"Danon, L",96,"Diazguilera, A",0.5
99,"Danon, L",97,"Guimera, R",0.5
100,"Gleiser, P",94,"Arenas, A",0.25
100,"Gleiser, P",99,"Danon, L",1.25
100,"Gleiser, P",96,"Diazguilera, A",0.25
100,"Gleiser, P",97,"Guimera, R",0.25
103,"Buescu, J",102,"Ashwin, P",0.5
104,"Stewart, I",102,"Ashwin, P",0.5
104,"Stewart, I",103,"Buescu, J",0.5
106,"Jost, J",105,"Atay, F",0.5
107,"Wende, A",105,"Atay, F",0.5
107,"Wende, A",106,"Jost, J",0.5
109,"Hart, S",108,"Aumann, R",1
112,"Hogue, C",111,"Bader, G",1
114,"Paczuski, M",113,"Baiesi, M",1
117,"Ulanowicz, R",116,"Baird, D",1
119,"Faulkner, R",118,"Baker, W",1
121,"Sneppen, K",120,"Bak, P",1
121,"Sneppen, K",78,"Newman, M",1
123,"Mollison, D",122,"Ball, F",0.5
124,"Scaliatomba, G",122,"Ball, F",0.5
124,"Scaliatomba, G",123,"Mollison, D",0.5
127,"Maritan, A",126,"Banavar, J",0.7
128,"Rinaldo, A",126,"Banavar, J",0.5
128,"Rinaldo, A",127,"Maritan, A",0.75
130,"Carley, K",129,"Banks, D",1
131,"Bianconi, G",33,"Barabasi, A",1.33333
131,"Bianconi, G",30,"Albert, R",0.333333
131,"Bianconi, G",34,"Jeong, H",0.333333
132,"Ravasz, E",33,"Barabasi, A",2.275
132,"Ravasz, E",34,"Jeong, H",0.525
